timestamp_ns,mac,rssi
1770824407737718000,60:c0:bf:49:2a:e9,-55
1770824407743146600,60:c0:bf:49:2a:e9,-55
1770824407867051100,60:c0:bf:49:2a:e9,-54
1770824407871119400,60:c0:bf:49:2a:e9,-54
1770824409641015000,60:c0:bf:49:2a:e9,-54
1770824409646206000,60:c0:bf:49:2a:e9,-57
1770824412620878200,60:c0:bf:49:2a:e9,-54
1770824412625897100,60:c0:bf:49:2a:e9,-54
1770824412716485200,60:c0:bf:49:2a:e9,-56
1770824412720985400,60:c0:bf:49:2a:e9,-56
1770824412835581200,60:c0:bf:49:2a:e9,-52
1770824412840561600,60:c0:bf:49:2a:e9,-55
1770824412937717300,60:c0:bf:49:2a:e9,-51
1770824412939036700,60:c0:bf:49:2a:e9,-53
1770824415673153700,60:c0:bf:49:2a:e9,-57
1770824415678161600,60:c0:bf:49:2a:e9,-57
1770824415893237300,60:c0:bf:49:2a:e9,-53
1770824415901457900,60:c0:bf:49:2a:e9,-56
1770824416011289200,60:c0:bf:49:2a:e9,-55
1770824416015956900,60:c0:bf:49:2a:e9,-55
1770824416137483600,60:c0:bf:49:2a:e9,-50
1770824416143389800,60:c0:bf:49:2a:e9,-53
1770824417208478700,60:c0:bf:49:2a:e9,-51
1770824417223407400,60:c0:bf:49:2a:e9,-54
1770824417433038000,60:c0:bf:49:2a:e9,-51
1770824417460889200,60:c0:bf:49:2a:e9,-54
1770824417716864600,60:c0:bf:49:2a:e9,-55
1770824417732791700,60:c0:bf:49:2a:e9,-55
1770824477709615200,60:c0:bf:49:2a:e9,-127
1770824518441178200,60:c0:bf:49:2a:e9,-50
1770824518448114400,60:c0:bf:49:2a:e9,-50
1770824518566668900,60:c0:bf:49:2a:e9,-44
1770824518583059700,60:c0:bf:49:2a:e9,-44
1770824578621898600,60:c0:bf:49:2a:e9,-127
